time,backoff_time
4027752733,313
4030098082,205
4039306583,106
4040935037,295
4043535765,178
4050696955,313
4058130308,304
4065237991,178
4066621435,52
4067727071,142
4068724896,115
4069551595,322
4071153981,277
4074167113,268
4075785995,250
4075949594,259
4078887118,70
4086388567,232
4093412051,259
4094742620,70
4097837542,214
4099076921,97
4106305603,79
4111496107,151
4113259876,277
4113383017,160
4115399975,61
4117305839,97
4125747081,295
4126709565,250
4127916570,214
4128108721,151
4128685431,61
4132442606,169
4136438570,268
4140704212,151
4143528529,250
4145020971,115
4154019093,97
4155710014,178
4156258491,133
4166035118,160
4170923664,52
4172256284,178
4172267931,169
4174873617,79
4175956115,241
4180039109,286
4181092834,214
4183135560,196
4184161057,88
4185753899,97
4191123699,97
4192862986,313
4193107020,43
4194013527,268
4194275592,178
4197792082,43
4197950022,178
4199340972,223
4200927485,88
4201867900,241
4202309112,97
4206217551,88
4207147192,52
4207786024,304
4209103950,115
4211924102,223
4214553470,97
4215468479,169
4219961933,232
4220430437,88
4223999084,61
4225513440,115
4226892316,241
4233667906,97
4234133984,70
4235672510,268
4237530569,88
4242393010,133
4246579584,52
4252878870,142
4255329986,133
4256610030,151
4260383510,133
4263038104,178
4265622275,97
4266935402,196
4268538092,295
4270229778,178
4280553430,304
4282759424,196
4283072353,151
4283967098,124
4288242075,187
4291661357,322
4294043761,223
4294865892,97
4300428644,277
4312140934,232
4314407189,313
4318752417,223
4320553908,169
4321333814,196
4322957790,313
4329078608,79
4329143464,106
4331295571,61
4334610581,241
4336943490,178
4341252304,88
4341474051,79
4343578508,241
4345348846,259
4348108118,313
4352229839,133
4355744583,79
4356354118,115
4361183618,142
4363993483,313
4364983345,259
4365158875,313
4366282750,142
4375068120,277
4377466897,70
4379830576,322
4381015390,169
4381724620,160
4382430369,304
4390852756,160
4390975084,241
4393772119,232
4396232924,61
4397581060,178
4401744438,205
4402691586,205
4404939002,70
4406321779,97
4409242460,142
4409265902,223
4410044089,70
4421241119,70
4425628788,232
4429796040,205
4432153106,133
4432501437,169
4432652784,142
4438173054,286
4439968067,88
4447255444,277
4451133117,214
4453383929,313
4456852345,88
4460292084,88
4463664748,196
4465147881,187
4476729968,232
4477089977,205
4479217462,88
4484969575,70
4484987426,52
4485774560,160
4495902088,313
4496001516,214
4499565073,205
4501588868,277
4509401526,142
4511192019,187
4518837583,160
4519162058,52
4523621589,97
4526275111,142
4528624320,88
4529998362,52
4530642115,61
4530712032,43
4532641678,160
4534251927,232
4535951313,151
4542489567,196
4542495772,205
4542768499,79
4547351498,322
4549608479,124
4550745429,97
4551431479,250
4552596851,178
4555603119,88
4556778986,313
4557221270,115
4557925600,232
4559068212,169
4559579547,178
4560963501,133
4564866803,187
4566443011,124
4574040813,187
4577922298,295
4583742072,160
4586351785,196
4593135806,178
4593871924,169
4594565542,196
4595431464,232
4597966449,196
4600043509,160
4601732111,259
4606975479,133
4608425049,241
4611949074,223
4615464050,124
4617852061,61
4619111836,277
4624243285,61
4626866514,142
4628982386,88
4631295107,196
4634903394,151
4635287478,151
4636838580,160
4637146301,133
4641665997,43
4642446180,70
4651230095,187
4653078583,61
4655339094,322
4655605979,241
4656964852,277
4657161007,304
4657748063,295
4658641068,286
4663988535,322
4665764502,322
4669369100,187
4669444394,115
4673053360,43
4674101044,259
4680158615,187
4688274108,286
4688772920,268
4689110660,115
4691261802,124
4691448199,160
4696098008,223
4700909120,241
4701859073,205
4704697922,214
4711267911,223
4712466447,205
4712944061,196
4713447041,52
4715504841,187
4716778617,61
4720098705,160
4720209597,61
4720570338,277
4722387560,70
4729107330,124
4730216612,115
4732210618,70
4732967331,178
4734444868,268
4740566500,97
4742073518,79
4748376317,250
4749655401,160
4750462010,187
4752333024,115
4753786555,142
4757427506,214
4763699950,304
4766488150,61
4768773513,223
4771468907,277
4773685593,79
4774415482,61
4776691535,88
4777255820,142
4778970620,232
4779248619,88
4781637513,43
4782705564,223
4784741525,79
4785538303,304
4786074618,61
4787580102,61
4788981604,250
4789323323,295
4789370092,250
4789445049,79
4789497088,277
4790565880,97
4800891055,97
4801749609,43
4802282447,142
4806243586,187
4807661111,79
4808987611,61
4817059969,295
4825358498,124
4830076104,115
4834515843,151
4835852365,196
4836709748,106
4837244304,205
4844458620,241
4844935388,160
4848406852,205
4852914595,169
4853653583,142
4855615938,187
4857236094,70
4858017956,286
4858215024,214
4860759086,61
4861184009,115
4866363255,196
4870872016,43
4874637107,52
4877985793,124
4888515921,70
4891681388,115
4893828117,70
4895643034,115
4905821361,178
4906551007,178
4907090014,178
4913299859,286
4915118909,133
4916168370,286
4916532021,160
4917655381,214
4918364890,295
4921539114,205
4921755865,304
4924477612,43
4929465514,232
4930166487,70
4931071571,205
4939191902,286
4941063589,214
4942366552,52
4945207981,286
4946058350,151
4946483090,313
4947630605,52
4949438731,196
4953161483,250
4955286349,106
4955460517,313
4961372579,61
4970806531,169
4971606553,241
4974551964,259
4976085248,160
4978074853,79
4978528984,106
4983927296,214
4984636932,241
4987500030,106
4988402017,295
4989485426,133
4991943368,115
4993904460,250
4994124875,133
4995991465,286
4996760989,115
4999725459,178
5002209282,79
5009775003,286
5013164079,142
5013352035,205
5013445431,313
5022834618,313
5023693335,304
5024316443,169
5027748659,106
5029527603,52
5031080092,43
5031190537,88
5042216982,232
5052261317,88
5067894478,322
5070409356,196
5071510058,61
5079735061,43
5080608611,241
5080620276,259
5083743108,88
5092355074,205
5092966920,223
5093762967,124
5096368523,250
5097373439,214
5099005806,124
5101198369,133
5104441043,61
5114034588,106
5115413945,295
5123870620,277
5135186983,223
5135605054,214
5135917497,268
5136464519,160
5138485582,286
5140107578,169
5142409078,178
5143948089,61
5146344726,124
5146478366,43
5147184078,160
5150277013,322
5157773963,241
5159697006,232
5160522758,268
5166631569,205
5168908218,97
5169002538,169
5180324101,169
5190188458,79
5190455038,169
5195908220,259
5200963286,133
5204517491,88
5209828083,169
5216686749,178
5221313538,169
5224057530,286
5228181583,187
5230091937,187
5230904092,160
5231073420,313
5235129119,313
5238142969,115
5242301518,223
5248165317,133
5251286492,187
5257354284,88
5259796006,115
5264755997,169
5265473012,259
5267431495,106
5269761400,61
5273039620,61
5276990606,151
5278609620,124
5284273418,88
5286901980,214
5295817909,97
5296259399,142
5296467581,250
5297749829,322
5304907801,187
5308391844,223
5314655118,187
5319126272,61
5326099859,133
5331911065,97
5333264548,196
5336157887,43
5339928174,241
5340895586,295
5342513497,70
5342617571,97
5344759490,178
5344817981,133
5347752280,214
5348989066,205
5352043226,61
5353745941,241
5354826531,133
5356895007,151
5361390547,277
5366102453,142
5366640111,241
5370565361,133
5370571620,241
5372465952,241
5378906921,295
5383121045,250
5386360617,205
5386856232,52
5390092103,79
5395708598,187
5395953455,178
5404066602,115
5408928084,88
5413145927,223
5415317018,313
5417262890,232
5418924771,178
5420667112,133
5421879197,322
5423172608,106
5423633050,169
5424159554,241
5425459946,277
5438315261,115
5439148037,268
5450978399,250
5452992970,250
5453365948,322
5453680537,160
5454779784,133
5455373616,268
5458989892,286
5459713038,322
5462564519,232
5464322860,79
5464790981,160
5465047542,133
5466114435,304
5470902948,79
5472153865,241
5474485563,295
5477759476,160
5480887610,79
5487621491,268
5492518986,268
5492665007,151
5492827832,106
5493393519,142
5493602067,304
5498968516,70
5500024498,205
5502358065,97
5504535078,286
5506448331,124
5507121485,313
5507588077,295
5513315585,178
5515745073,286
5516355355,322
5518927048,313
5524546107,241
5526537115,169
5537266388,124
5541299052,232
5543871153,250
5544021093,70
5547563990,169
5552083530,97
5555884009,322
5557786065,142
5567472102,61
5569611091,250
5571635054,43
